pair_id,pair_label,prompt_id,attack_family,attack_checkpoint,attack_strength,donor_source,output_affecting_available,output_affecting_reason,output_affecting,top1_changed,top5_jaccard,top20_jaccard,logit_l2_delta,logit_linf_delta,clean_top1_id,attacked_top1_id,clean_top5_ids,attacked_top5_ids,clean_top5_probs,attacked_top5_probs
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_003,gaussian,C2,0.15,gaussian_noise,1,replay_to_logits_topk_label,1,1,0.0,0.0,1693.117683,20.964844,7281,1437,7281 22406 4710 1096 576,1437 6157 29326 19816 443,0.23434763 0.18830361 0.12941905 0.11969306 0.10000729,0.22198624 0.17020276 0.12259245 0.07915163 0.04876391
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_003,cross_prompt_stale_substitution,C2,,same_stack_rerun,1,replay_to_logits_topk_label,1,0,0.666667,0.6,251.249966,2.759766,7281,7281,7281 22406 4710 1096 576,7281 22406 576 4710 8886,0.23434763 0.18830361 0.12941905 0.11969306 0.10000729,0.53984093 0.21811545 0.06809897 0.03560637 0.02466381
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_003,wrong_shard_output,C2,,same_run_next_prompt,1,replay_to_logits_topk_label,1,1,0.428571,0.666667,191.813802,2.974609,7281,8886,7281 22406 4710 1096 576,8886 576 7281 2924 1096,0.23434763 0.18830361 0.12941905 0.11969306 0.10000729,0.23756324 0.18501444 0.09158879 0.08339254 0.07834004
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_003,layer_skip,C2,,C1_to_C2,1,replay_to_logits_topk_label,1,1,0.25,0.290323,489.562409,7.061035,7281,576,7281 22406 4710 1096 576,576 1096 4615 8886 1416,0.23434763 0.18830361 0.12941905 0.11969306 0.10000729,0.53685288 0.15261396 0.04839876 0.04043867 0.02714924
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_003,scale_perturbation,C2,0.15,scale_delta,1,replay_to_logits_topk_label,0,0,1.0,0.818182,73.372025,0.888184,7281,7281,7281 22406 4710 1096 576,7281 22406 4710 1096 576,0.23434763 0.18830361 0.12941905 0.11969306 0.10000729,0.19937759 0.17872092 0.17187422 0.10588864 0.08442178
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_004,gaussian,C2,0.15,gaussian_noise,1,replay_to_logits_topk_label,1,1,0.0,0.0,2096.173272,23.820312,8886,2746,8886 576 7281 2924 1096,2746 27613 127650 4865 7291,0.23756324 0.18501444 0.09158879 0.08339254 0.07834004,0.25793851 0.09638458 0.07624648 0.07218871 0.07051646
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_004,cross_prompt_stale_substitution,C2,,same_stack_rerun,1,replay_to_logits_topk_label,1,1,0.428571,0.666667,191.813802,2.974609,8886,7281,8886 576 7281 2924 1096,7281 22406 4710 1096 576,0.23756324 0.18501444 0.09158879 0.08339254 0.07834004,0.23434763 0.18830361 0.12941905 0.11969306 0.10000729
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_004,wrong_shard_output,C2,,same_run_next_prompt,1,replay_to_logits_topk_label,1,1,0.428571,0.666667,200.003549,2.714844,8886,7281,8886 576 7281 2924 1096,7281 22406 576 1096 4710,0.23756324 0.18501444 0.09158879 0.08339254 0.07834004,0.34878247 0.30302746 0.11323309 0.05738374 0.05103815
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_004,layer_skip,C2,,C1_to_C2,1,replay_to_logits_topk_label,1,1,0.428571,0.290323,446.493899,7.453674,8886,576,8886 576 7281 2924 1096,576 1096 10339 8886 3270,0.23756324 0.18501444 0.09158879 0.08339254 0.07834004,0.19397693 0.10712423 0.10382837 0.07715869 0.07080480
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_004,scale_perturbation,C2,0.15,scale_delta,1,replay_to_logits_topk_label,0,0,1.0,0.904762,56.33017,0.769531,8886,8886,8886 576 7281 2924 1096,8886 576 2924 7281 1096,0.23756324 0.18501444 0.09158879 0.08339254 0.07834004,0.21660380 0.15479975 0.11961998 0.08093893 0.07427373
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_005,gaussian,C2,0.15,gaussian_noise,1,replay_to_logits_topk_label,1,1,0.0,0.0,2204.008054,25.46875,7281,1919,7281 22406 576 1096 4710,1919 33431 6357 4255 521,0.34878247 0.30302746 0.11323309 0.05738374 0.05103815,0.55670189 0.06344383 0.05913615 0.03586789 0.03291422
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_005,cross_prompt_stale_substitution,C2,,same_stack_rerun,1,replay_to_logits_topk_label,1,1,0.428571,0.666667,200.003549,2.714844,7281,8886,7281 22406 576 1096 4710,8886 576 7281 2924 1096,0.34878247 0.30302746 0.11323309 0.05738374 0.05103815,0.23756324 0.18501444 0.09158879 0.08339254 0.07834004
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_005,wrong_shard_output,C2,,same_run_next_prompt,1,replay_to_logits_topk_label,1,0,0.666667,0.73913,175.712149,2.128418,7281,7281,7281 22406 576 1096 4710,7281 22406 4710 1096 8886,0.34878247 0.30302746 0.11323309 0.05738374 0.05103815,0.17236371 0.15092671 0.13215584 0.11303888 0.09744561
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_005,layer_skip,C2,,C1_to_C2,1,replay_to_logits_topk_label,1,1,0.25,0.290323,525.258286,7.653809,7281,576,7281 22406 576 1096 4710,576 1096 10339 4615 8886,0.34878247 0.30302746 0.11323309 0.05738374 0.05103815,0.21318068 0.13133681 0.09534030 0.09386218 0.07903988
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_005,scale_perturbation,C2,0.15,scale_delta,1,replay_to_logits_topk_label,0,0,1.0,0.904762,68.252962,0.839844,7281,7281,7281 22406 576 1096 4710,7281 22406 576 4710 1096,0.34878247 0.30302746 0.11323309 0.05738374 0.05103815,0.33052974 0.29397924 0.10002140 0.07037384 0.05312096
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_006,gaussian,C2,0.15,gaussian_noise,1,replay_to_logits_topk_label,1,1,0.0,0.0,2180.23081,24.757812,7281,2271,7281 22406 4710 1096 8886,2271 1273 99482 125341 17254,0.17236371 0.15092671 0.13215584 0.11303888 0.09744561,0.28739082 0.08972779 0.06720301 0.06215262 0.05659061
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_006,cross_prompt_stale_substitution,C2,,same_stack_rerun,1,replay_to_logits_topk_label,1,0,0.666667,0.73913,175.712149,2.128418,7281,7281,7281 22406 4710 1096 8886,7281 22406 576 1096 4710,0.17236371 0.15092671 0.13215584 0.11303888 0.09744561,0.34878247 0.30302746 0.11323309 0.05738374 0.05103815
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_006,wrong_shard_output,C2,,same_run_next_prompt,1,replay_to_logits_topk_label,1,1,0.666667,0.6,277.943074,2.957031,7281,576,7281 22406 4710 1096 8886,576 7281 22406 8886 1096,0.17236371 0.15092671 0.13215584 0.11303888 0.09744561,0.48520113 0.16768102 0.10250135 0.08975318 0.03830196
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_006,layer_skip,C2,,C1_to_C2,1,replay_to_logits_topk_label,1,1,0.25,0.290323,483.378362,8.220703,7281,576,7281 22406 4710 1096 8886,576 1096 8886 4615 1446,0.17236371 0.15092671 0.13215584 0.11303888 0.09744561,0.34546407 0.16575547 0.07073575 0.05864200 0.03529138
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_006,scale_perturbation,C2,0.15,scale_delta,1,replay_to_logits_topk_label,1,1,0.666667,0.904762,66.756944,0.839844,7281,4710,7281 22406 4710 1096 8886,4710 7281 22406 1096 481,0.17236371 0.15092671 0.13215584 0.11303888 0.09744561,0.15782808 0.13712341 0.12681843 0.11104592 0.08061070
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_007,gaussian,C2,0.15,gaussian_noise,1,replay_to_logits_topk_label,1,1,0.0,0.025641,1728.77441,20.878906,576,82,576 7281 22406 8886 1096,82 38589 481 40807 49659,0.48520113 0.16768102 0.10250135 0.08975318 0.03830196,0.53526115 0.13963121 0.08144617 0.04497884 0.02926829
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_007,cross_prompt_stale_substitution,C2,,same_stack_rerun,1,replay_to_logits_topk_label,1,1,0.666667,0.6,277.943074,2.957031,576,7281,576 7281 22406 8886 1096,7281 22406 4710 1096 8886,0.48520113 0.16768102 0.10250135 0.08975318 0.03830196,0.17236371 0.15092671 0.13215584 0.11303888 0.09744561
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_007,wrong_shard_output,C2,,same_run_next_prompt,1,replay_to_logits_topk_label,0,0,1.0,0.6,187.144949,2.625,576,576,576 7281 22406 8886 1096,576 22406 7281 1096 8886,0.48520113 0.16768102 0.10250135 0.08975318 0.03830196,0.42137857 0.25557902 0.14791779 0.05151995 0.03681965
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_007,layer_skip,C2,,C1_to_C2,1,replay_to_logits_topk_label,1,0,0.428571,0.290323,515.465422,6.231567,576,576,576 7281 22406 8886 1096,576 1096 8886 1084 5005,0.48520113 0.16768102 0.10250135 0.08975318 0.03830196,0.31200781 0.20947213 0.10129410 0.04747559 0.04060803
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_007,scale_perturbation,C2,0.15,scale_delta,1,replay_to_logits_topk_label,1,0,0.666667,0.904762,46.376423,0.667969,576,576,576 7281 22406 8886 1096,576 7281 8886 22406 4710,0.48520113 0.16768102 0.10250135 0.08975318 0.03830196,0.41523711 0.19010940 0.10747811 0.10581182 0.04176149
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_008,gaussian,C2,0.15,gaussian_noise,1,replay_to_logits_topk_label,1,1,0.0,0.025641,2063.111106,20.494141,576,151643,576 22406 7281 1096 8886,151643 304 11 25 4102,0.42137857 0.25557902 0.14791779 0.05151995 0.03681965,0.44274330 0.35023878 0.05455668 0.04215813 0.02103347
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_008,cross_prompt_stale_substitution,C2,,same_stack_rerun,1,replay_to_logits_topk_label,0,0,1.0,0.6,187.144949,2.625,576,576,576 22406 7281 1096 8886,576 7281 22406 8886 1096,0.42137857 0.25557902 0.14791779 0.05151995 0.03681965,0.48520113 0.16768102 0.10250135 0.08975318 0.03830196
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_008,wrong_shard_output,C2,,same_run_next_prompt,1,replay_to_logits_topk_label,1,0,0.666667,0.666667,206.959721,3.314453,576,576,576 22406 7281 1096 8886,576 4710 22406 7281 8886,0.42137857 0.25557902 0.14791779 0.05151995 0.03681965,0.60478140 0.07111100 0.06946372 0.06946372 0.06178231
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_008,layer_skip,C2,,C1_to_C2,1,replay_to_logits_topk_label,1,0,0.25,0.25,515.923067,8.043213,576,576,576 22406 7281 1096 8886,576 1096 1416 3555 5005,0.42137857 0.25557902 0.14791779 0.05151995 0.03681965,0.39809281 0.16594977 0.07900393 0.04717540 0.04536814
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_008,scale_perturbation,C2,0.15,scale_delta,1,replay_to_logits_topk_label,0,0,1.0,0.818182,49.789064,0.677246,576,576,576 22406 7281 1096 8886,576 22406 7281 1096 8886,0.42137857 0.25557902 0.14791779 0.05151995 0.03681965,0.34564757 0.27130189 0.17110796 0.05731399 0.04498626
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_009,gaussian,C2,0.15,gaussian_noise,1,replay_to_logits_topk_label,1,1,0.0,0.025641,1605.44796,20.908203,576,101124,576 4710 22406 7281 8886,101124 104367 2326 112016 1817,0.60478140 0.07111100 0.06946372 0.06946372 0.06178231,0.30611174 0.15880868 0.12465036 0.07560427 0.06830276
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_009,cross_prompt_stale_substitution,C2,,same_stack_rerun,1,replay_to_logits_topk_label,1,0,0.666667,0.666667,206.959721,3.314453,576,576,576 4710 22406 7281 8886,576 22406 7281 1096 8886,0.60478140 0.07111100 0.06946372 0.06946372 0.06178231,0.42137857 0.25557902 0.14791779 0.05151995 0.03681965
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_009,wrong_shard_output,C2,,same_run_next_prompt,1,replay_to_logits_topk_label,1,1,0.666667,0.481481,327.925935,3.876953,576,7281,576 4710 22406 7281 8886,7281 22406 576 4710 1096,0.60478140 0.07111100 0.06946372 0.06946372 0.06178231,0.33603100 0.20864639 0.09855758 0.07919324 0.06668739
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_009,layer_skip,C2,,C1_to_C2,1,replay_to_logits_topk_label,1,0,0.25,0.290323,523.268604,6.309814,576,576,576 4710 22406 7281 8886,576 8886 1096 1416 5005,0.60478140 0.07111100 0.06946372 0.06946372 0.06178231,0.29439643 0.10334287 0.09409475 0.07620025 0.06724649
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_009,scale_perturbation,C2,0.15,scale_delta,1,replay_to_logits_topk_label,0,0,1.0,1.0,49.885098,0.71875,576,576,576 4710 22406 7281 8886,576 4710 8886 7281 22406,0.60478140 0.07111100 0.06946372 0.06946372 0.06178231,0.51224615 0.09475601 0.09041682 0.08168479 0.07495817
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_010,gaussian,C2,0.15,gaussian_noise,1,replay_to_logits_topk_label,1,1,0.0,0.0,1564.292372,19.183594,7281,3,7281 22406 576 4710 1096,3 198 433 778 271,0.33603100 0.20864639 0.09855758 0.07919324 0.06668739,0.64436308 0.08518496 0.04524139 0.03663759 0.03362055
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_010,cross_prompt_stale_substitution,C2,,same_stack_rerun,1,replay_to_logits_topk_label,1,1,0.666667,0.481481,327.925935,3.876953,7281,576,7281 22406 576 4710 1096,576 4710 22406 7281 8886,0.33603100 0.20864639 0.09855758 0.07919324 0.06668739,0.60478140 0.07111100 0.06946372 0.06946372 0.06178231
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_010,wrong_shard_output,C2,,same_run_next_prompt,1,replay_to_logits_topk_label,0,0,1.0,0.6,252.587393,3.195312,7281,7281,7281 22406 576 4710 1096,7281 576 22406 4710 1096,0.33603100 0.20864639 0.09855758 0.07919324 0.06668739,0.56579052 0.10714268 0.07838726 0.06152686 0.03533191
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_010,layer_skip,C2,,C1_to_C2,1,replay_to_logits_topk_label,1,1,0.25,0.333333,506.076966,7.560913,7281,576,7281 22406 576 4710 1096,576 10339 4226 4615 1096,0.33603100 0.20864639 0.09855758 0.07919324 0.06668739,0.15886091 0.13377430 0.12275820 0.08841941 0.06726594
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_010,scale_perturbation,C2,0.15,scale_delta,1,replay_to_logits_topk_label,0,0,1.0,0.73913,65.988456,0.828125,7281,7281,7281 22406 576 4710 1096,7281 22406 4710 576 1096,0.33603100 0.20864639 0.09855758 0.07919324 0.06668739,0.29665544 0.19303738 0.10252138 0.08565982 0.06169845
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_011,gaussian,C2,0.15,gaussian_noise,1,replay_to_logits_topk_label,1,1,0.0,0.0,2359.739035,26.0625,7281,4109,7281 576 22406 4710 1096,4109 32812 23692 68288 6254,0.56579052 0.10714268 0.07838726 0.06152686 0.03533191,0.20220163 0.17160630 0.06720199 0.05233696 0.05033197
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_011,cross_prompt_stale_substitution,C2,,same_stack_rerun,1,replay_to_logits_topk_label,0,0,1.0,0.6,252.587393,3.195312,7281,7281,7281 576 22406 4710 1096,7281 22406 576 4710 1096,0.56579052 0.10714268 0.07838726 0.06152686 0.03533191,0.33603100 0.20864639 0.09855758 0.07919324 0.06668739
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_011,wrong_shard_output,C2,,same_run_next_prompt,1,replay_to_logits_topk_label,1,0,0.666667,0.818182,135.123144,1.703125,7281,7281,7281 576 22406 4710 1096,7281 576 22406 4710 8886,0.56579052 0.10714268 0.07838726 0.06152686 0.03533191,0.48381018 0.18946279 0.10381704 0.05644435 0.04161945
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_011,layer_skip,C2,,C1_to_C2,1,replay_to_logits_topk_label,1,1,0.25,0.333333,510.448977,7.800781,7281,576,7281 576 22406 4710 1096,576 3555 1096 758 2585,0.56579052 0.10714268 0.07838726 0.06152686 0.03533191,0.38720619 0.19776557 0.11093643 0.03629826 0.03009232
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_011,scale_perturbation,C2,0.15,scale_delta,1,replay_to_logits_topk_label,0,0,1.0,0.818182,64.525765,0.789062,7281,7281,7281 576 22406 4710 1096,7281 576 4710 22406 1096,0.56579052 0.10714268 0.07838726 0.06152686 0.03533191,0.54020846 0.09098595 0.08414825 0.07782441 0.03169052
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_012,gaussian,C2,0.15,gaussian_noise,1,replay_to_logits_topk_label,1,1,0.0,0.0,1696.777903,19.34375,7281,1496,7281 576 22406 4710 8886,1496 3403 3267 1172 14396,0.48381018 0.18946279 0.10381704 0.05644435 0.04161945,0.23106034 0.11528028 0.09860445 0.07214056 0.06883700
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_012,cross_prompt_stale_substitution,C2,,same_stack_rerun,1,replay_to_logits_topk_label,1,0,0.666667,0.818182,135.123144,1.703125,7281,7281,7281 576 22406 4710 8886,7281 576 22406 4710 1096,0.48381018 0.18946279 0.10381704 0.05644435 0.04161945,0.56579052 0.10714268 0.07838726 0.06152686 0.03533191
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_012,wrong_shard_output,C2,,same_run_next_prompt,1,replay_to_logits_topk_label,1,0,0.666667,0.666667,282.019896,6.199219,7281,7281,7281 576 22406 4710 8886,7281 4710 576 22406 3555,0.48381018 0.18946279 0.10381704 0.05644435 0.04161945,0.38222478 0.15809504 0.07949518 0.06852913 0.06387617
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_012,layer_skip,C2,,C1_to_C2,1,replay_to_logits_topk_label,1,1,0.25,0.37931,496.021405,7.341797,7281,3555,7281 576 22406 4710 8886,3555 576 1096 8886 9645,0.48381018 0.18946279 0.10381704 0.05644435 0.04161945,0.30370268 0.19917308 0.14234258 0.04842962 0.04621187
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_012,scale_perturbation,C2,0.15,scale_delta,1,replay_to_logits_topk_label,0,0,1.0,0.73913,57.526162,0.703125,7281,7281,7281 576 22406 4710 8886,7281 576 22406 4710 8886,0.48381018 0.18946279 0.10381704 0.05644435 0.04161945,0.44262983 0.17333633 0.09876407 0.07874158 0.05497048
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_013,gaussian,C2,0.15,gaussian_noise,1,replay_to_logits_topk_label,1,1,0.0,0.025641,1484.81465,17.761719,7281,320,7281 4710 576 22406 3555,320 1736 3019 11799 2936,0.38222478 0.15809504 0.07949518 0.06852913 0.06387617,0.53785766 0.16662053 0.05042093 0.03746966 0.03204950
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_013,cross_prompt_stale_substitution,C2,,same_stack_rerun,1,replay_to_logits_topk_label,1,0,0.666667,0.666667,282.019896,6.199219,7281,7281,7281 4710 576 22406 3555,7281 576 22406 4710 8886,0.38222478 0.15809504 0.07949518 0.06852913 0.06387617,0.48381018 0.18946279 0.10381704 0.05644435 0.04161945
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_013,wrong_shard_output,C2,,same_run_next_prompt,1,replay_to_logits_topk_label,1,1,0.428571,0.6,273.725811,6.263672,7281,576,7281 4710 576 22406 3555,576 7281 1096 8886 4710,0.38222478 0.15809504 0.07949518 0.06852913 0.06387617,0.28702705 0.12058911 0.11328298 0.10809538 0.10641952
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_013,layer_skip,C2,,C1_to_C2,1,replay_to_logits_topk_label,1,1,0.25,0.25,442.526322,6.262695,7281,576,7281 4710 576 22406 3555,576 1096 1084 1416 3555,0.38222478 0.15809504 0.07949518 0.06852913 0.06387617,0.71446166 0.09593941 0.02296633 0.02243432 0.02140698
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_013,scale_perturbation,C2,0.15,scale_delta,1,replay_to_logits_topk_label,0,0,1.0,0.818182,83.35038,0.804688,7281,7281,7281 4710 576 22406 3555,7281 4710 576 3555 22406,0.38222478 0.15809504 0.07949518 0.06852913 0.06387617,0.30153863 0.21050789 0.08243607 0.07744152 0.06271406
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_014,gaussian,C2,0.15,gaussian_noise,1,replay_to_logits_topk_label,1,1,0.0,0.0,1798.308853,20.6875,576,8714,576 7281 1096 8886 4710,8714 854 11689 56935 26,0.28702705 0.12058911 0.11328298 0.10809538 0.10641952,0.31129726 0.08248556 0.07393958 0.07336418 0.05941212
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_014,cross_prompt_stale_substitution,C2,,same_stack_rerun,1,replay_to_logits_topk_label,1,1,0.428571,0.6,273.725811,6.263672,576,7281,576 7281 1096 8886 4710,7281 4710 576 22406 3555,0.28702705 0.12058911 0.11328298 0.10809538 0.10641952,0.38222478 0.15809504 0.07949518 0.06852913 0.06387617
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_014,wrong_shard_output,C2,,same_run_next_prompt,1,replay_to_logits_topk_label,1,1,0.666667,0.73913,178.193084,2.367188,576,7281,576 7281 1096 8886 4710,7281 22406 576 4710 1096,0.28702705 0.12058911 0.11328298 0.10809538 0.10641952,0.56517075 0.16576405 0.08142057 0.05339691 0.02522291
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_014,layer_skip,C2,,C1_to_C2,1,replay_to_logits_topk_label,1,1,0.25,0.37931,483.883797,6.599609,576,3270,576 7281 1096 8886 4710,3270 576 9645 1096 3555,0.28702705 0.12058911 0.11328298 0.10809538 0.10641952,0.23591734 0.18517364 0.10387300 0.07659115 0.06399430
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_014,scale_perturbation,C2,0.15,scale_delta,1,replay_to_logits_topk_label,0,0,1.0,0.904762,58.915423,0.769531,576,576,576 7281 1096 8886 4710,576 4710 7281 8886 1096,0.28702705 0.12058911 0.11328298 0.10809538 0.10641952,0.22660433 0.13217714 0.12034865 0.11394381 0.09899610
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_015,gaussian,C2,0.15,gaussian_noise,1,replay_to_logits_topk_label,1,1,0.0,0.0,2567.532465,24.851562,7281,71384,7281 22406 576 4710 1096,71384 100738 19701 82582 30457,0.56517075 0.16576405 0.08142057 0.05339691 0.02522291,0.14327970 0.10985636 0.08690353 0.06162383 0.05880187
