task_id,workload,arrival_s,deadline_s,demand,payload_mb,alpha,beta,sketch_budget_bytes,verify_budget_ms,max_group_size,challenge_prob,prompt_chars
eval_024,single,115.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,59
eval_025,single,120.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,60
eval_026,single,125.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,56
eval_027,single,130.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,80
eval_028,single,135.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,78
eval_029,single,140.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,76
eval_030,single,145.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,59
eval_031,single,150.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,77
eval_032,single,155.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,79
eval_033,single,160.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,77
eval_034,single,165.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,77
eval_035,single,170.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,78
eval_036,single,175.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,74
eval_037,single,180.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,98
eval_038,single,185.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,96
eval_039,single,190.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,94
eval_040,single,195.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,77
eval_041,single,200.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,77
eval_042,single,205.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,79
eval_043,single,210.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,77
eval_044,single,215.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,77
eval_045,single,220.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,78
eval_046,single,225.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,74
eval_047,single,230.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,98
eval_048,single,235.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,96
eval_049,single,240.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,94
eval_050,single,245.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,77
eval_051,single,250.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,88
eval_052,single,255.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,90
eval_053,single,260.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,88
eval_054,single,265.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,88
eval_055,single,270.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,89
eval_056,single,275.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,85
eval_057,single,280.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,109
eval_058,single,285.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,107
eval_059,single,290.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,105
eval_060,single,295.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,88
eval_061,single,300.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,59
eval_062,single,305.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,61
eval_063,single,310.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,59
eval_064,single,315.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,59
eval_065,single,320.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,60
eval_066,single,325.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,56
eval_067,single,330.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,80
eval_068,single,335.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,78
eval_069,single,340.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,76
eval_070,single,345.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,59
eval_071,single,350.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,60
eval_072,single,355.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,62
eval_073,single,360.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,60
eval_074,single,365.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,60
eval_075,single,370.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,61
eval_076,single,375.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,57
eval_077,single,380.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,81
eval_078,single,385.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,79
eval_079,single,390.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,77
eval_080,single,395.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,60
eval_081,single,400.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,68
eval_082,single,405.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,70
eval_083,single,410.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,68
eval_084,single,415.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,68
eval_085,single,420.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,69
eval_086,single,425.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,65
eval_087,single,430.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,89
eval_088,single,435.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,87
eval_089,single,440.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,85
eval_090,single,445.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,68
eval_091,single,450.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,70
eval_092,single,455.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,72
eval_093,single,460.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,70
eval_094,single,465.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,70
eval_095,single,470.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,71
eval_096,single,475.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,67
eval_097,single,480.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,91
eval_098,single,485.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,89
eval_099,single,490.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,87
eval_100,single,495.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,70
eval_101,single,500.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,61
eval_102,single,505.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,63
eval_103,single,510.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,61
eval_104,single,515.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,61
eval_105,single,520.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,62
eval_106,single,525.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,58
eval_107,single,530.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,82
eval_108,single,535.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,80
eval_109,single,540.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,78
eval_110,single,545.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,61
eval_111,single,550.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,62
eval_112,single,555.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,64
eval_113,single,560.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,62
eval_114,single,565.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,62
eval_115,single,570.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,63
eval_116,single,575.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,59
eval_117,single,580.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,83
eval_118,single,585.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,81
eval_119,single,590.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,79
eval_120,single,595.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,62
eval_121,single,600.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,68
eval_122,single,605.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,70
eval_123,single,610.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,68
eval_124,single,615.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,68
eval_125,single,620.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,69
eval_126,single,625.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,65
eval_127,single,630.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,89
eval_128,single,635.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,87
eval_129,single,640.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,85
eval_130,single,645.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,68
eval_131,single,650.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,73
eval_132,single,655.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,75
eval_133,single,660.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,73
eval_134,single,665.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,73
eval_135,single,670.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,74
eval_136,single,675.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,70
eval_137,single,680.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,94
eval_138,single,685.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,92
eval_139,single,690.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,90
eval_140,single,695.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,73
eval_141,single,700.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,60
eval_142,single,705.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,62
eval_143,single,710.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,60
eval_144,single,715.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,60
eval_145,single,720.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,61
eval_146,single,725.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,57
eval_147,single,730.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,81
eval_148,single,735.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,79
eval_149,single,740.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,77
eval_150,single,745.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,60
eval_151,single,750.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,63
eval_152,single,755.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,65
eval_153,single,760.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,63
eval_154,single,765.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,63
eval_155,single,770.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,64
eval_156,single,775.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,60
eval_157,single,780.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,84
eval_158,single,785.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,82
eval_159,single,790.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,80
eval_160,single,795.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,63
eval_161,single,800.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,73
eval_162,single,805.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,75
eval_163,single,810.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,73
eval_164,single,815.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,73
eval_165,single,820.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,74
eval_166,single,825.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,70
eval_167,single,830.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,94
eval_168,single,835.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,92
eval_169,single,840.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,90
eval_170,single,845.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,73
eval_171,single,850.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,70
eval_172,single,855.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,72
eval_173,single,860.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,70
eval_174,single,865.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,70
eval_175,single,870.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,71
eval_176,single,875.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,67
eval_177,single,880.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,91
eval_178,single,885.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,89
eval_179,single,890.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,87
eval_180,single,895.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,70
eval_181,single,900.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,79
eval_182,single,905.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,81
eval_183,single,910.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,79
eval_184,single,915.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,79
eval_185,single,920.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,80
eval_186,single,925.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,76
eval_187,single,930.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,100
eval_188,single,935.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,98
eval_189,single,940.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,96
eval_190,single,945.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,79
eval_191,single,950.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,79
eval_192,single,955.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,81
eval_193,single,960.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,79
eval_194,single,965.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,79
eval_195,single,970.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,80
eval_196,single,975.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,76
eval_197,single,980.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,100
eval_198,single,985.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,98
eval_199,single,990.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,96
eval_200,single,995.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,79
eval_001,queued-8,0.0,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,87
eval_002,queued-8,0.0,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,89
eval_003,queued-8,0.0,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,87
eval_004,queued-8,0.0,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,87
eval_005,queued-8,0.0,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,88
eval_006,queued-8,0.0,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,84
eval_007,queued-8,0.0,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,108
eval_008,queued-8,0.0,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,106
eval_009,queued-8,0.25,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,104
eval_010,queued-8,0.25,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,87
eval_011,queued-8,0.25,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,68
eval_012,queued-8,0.25,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,70
eval_013,queued-8,0.25,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,68
eval_014,queued-8,0.25,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,68
eval_015,queued-8,0.25,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,69
eval_016,queued-8,0.25,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,65
eval_017,queued-8,0.5,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,89
eval_018,queued-8,0.5,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,87
eval_019,queued-8,0.5,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,85
eval_020,queued-8,0.5,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,68
eval_021,queued-8,0.5,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,59
eval_022,queued-8,0.5,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,61
eval_023,queued-8,0.5,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,59
eval_024,queued-8,0.5,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,59
eval_025,queued-8,0.75,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,60
eval_026,queued-8,0.75,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,56
eval_027,queued-8,0.75,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,80
eval_028,queued-8,0.75,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,78
eval_029,queued-8,0.75,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,76
eval_030,queued-8,0.75,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,59
eval_031,queued-8,0.75,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,77
eval_032,queued-8,0.75,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,79
eval_033,queued-8,1.0,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,77
eval_034,queued-8,1.0,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,77
eval_035,queued-8,1.0,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,78
eval_036,queued-8,1.0,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,74
eval_037,queued-8,1.0,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,98
eval_038,queued-8,1.0,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,96
eval_039,queued-8,1.0,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,94
eval_040,queued-8,1.0,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,77
eval_041,queued-8,1.25,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,77
eval_042,queued-8,1.25,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,79
eval_043,queued-8,1.25,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,77
eval_044,queued-8,1.25,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,77
eval_045,queued-8,1.25,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,78
eval_046,queued-8,1.25,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,74
eval_047,queued-8,1.25,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,98
eval_048,queued-8,1.25,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,96
eval_049,queued-8,1.5,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,94
eval_050,queued-8,1.5,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,77
eval_051,queued-8,1.5,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,88
eval_052,queued-8,1.5,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,90
eval_053,queued-8,1.5,40.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,88
